"ID";"BANKNAME";"BIC_CODE";"CERTIS";"CITY";"COMPLETEADDRESSTOAGREEMENT";"CRMDESC";"DIRECTDEBIT";"EXTRACTTRANSVALID";"JERRYRELEVANT";"MOBILITABANKA_GTI";"MOBILITABANKA_GTI_AJ";"MOBILITACERTIS";"MOBILITACITY";"MOBILITADEPARTMENT";"MOBILITAEMAIL";"MOBILITASTREETCOMBINED";"MOBILITAZIPCODE";"OHYPOORDER";"P360";"REGISTRATIONNUMBER";"STAT";"STREETCOMBINED";"VALUE";"ZIPCODE";"ENTRYORDER";"VALIDFROM";"VALIDTO"
"0100";"Komerèní banka, a.s.";"KOMBCZPP";"1";"Praha 1";"Komerèní banka, a.s., se sídlem: Na Pøíkopì 33 èp. 969, Praha 1, PSÈ 114 07, IÈ 45317054";"Komerèní banka";"1";"1";"1";"Komerèní banky";"Komerèní banka";"1";"Praha 1";"CKB 4012 DIST Middle office";"mompss@kb.cz";"P.O.BOX 839";"114 07";"33";"Y";"45317054";"Èeská republika";"Na Pøíkopì 33 èp. 969";"0100 Komerèní banka, a.s.";"114 07";"1";"000101";"000101"
"0300";"Èeskoslovenská obchodní banka, a.s.";"CEKOCZPP";"1";"Praha 5";"Èeskoslovenská obchodní banka, a.s., se sídlem: Radlická 333/150, Praha 5, PSÈ 150 57, IÈ 00001350";"ÈSOB";"1";"1";"1";"ÈSOB";"ÈSOB";"1";"Hradec Králové";"Tuzemské operace - mobilita";"zmenabanky@csob.cz";"Akademika Bedrny 365/10";"500 03";"20";"Y";"00001350";"Èeská republika";"Radlická 333/150";"0300 Èeskoslovenská obchodní banka, a.s.";"150 57";"2";"000101";"000101"
"0600";"MONETA Money Bank, a. s.";"AGBACZPP";"1";"Praha 4 - Michle";"MONETA Money Bank, a. s., se sídlem: Vyskoèilova 1422/1b, Praha 4 - Michle, PSÈ 140 28, IÈ 25672720";"GE Money Bank";"1";"1";"1";"Monety";"Moneta";"1";"Ostrava";"Bankovní BO";"switching@moneta.cz";"Na Rovince 871";"720 00";"28";"Y";"25672720";"Èeská republika";"Vyskoèilova 1422/1b";"0600 MONETA Money Bank, a. s.";"140 28";"3";"000101";"000101"
"0710";"Èeská národní banka";"CNBACZPP";"1";"Praha 1";"Èeská národní banka , se sídlem: Na Pøíkopì 28, Praha 1, PSÈ 115 03";;"1";"0";"0";"Èeské národní banky";"Èeská národní banka";;"Praha 1";"Mobilita klientù";;"Na Pøíkopì 28";"115 03";"16";"Y";"48136450";"Èeská republika";"Na Pøíkopì 28";"0710 Èeská národní banka";"115 03";"4";"000101";"000101"
"0800";"Èeská spoøitelna, a.s.";"GIBACZPX";"1";"Praha 4";"Èeská spoøitelna, a.s., se sídlem: Olbrachtova 1929/62, Praha 4, PSÈ 140 00, IÈ 45244782";"Èeská spoøitelna";"1";"1";"0";"Èeské spoøitelny";"Èeská spoøitelna";"1";"Nový Jièín";"CEN 8510 Správa úètù";;"©tefánikova 2115/13";"741 01";"17";"Y";"45244782";"Èeská republika";"Olbrachtova 1929/62";"0800 Èeská spoøitelna, a.s.";"140 00";"5";"000101";"000101"
"2010";"Fio banka, a.s.";"FIOBCZPP";"1";"Praha 1";"Fio banka, a.s., se sídlem: V Celnici 1028/10, Praha 1, PSÈ 117 21, IÈ 61858374";"Fio banka";"1";"1";"1";"Fio banky";"Fio banka";"1";"Praha 1";"Mobilita klientù";"mobilita@fio.cz";"V Celnici 1028/10";"117 21";"27";"Y";"61858374";"Èeská republika";"V Celnici 1028/10";"2010 Fio banka, a.s.";"117 21";"6";"000101";"000101"
"2020";"MUFG Bank (Europe) N.V. Prague Branch";"BOTKCZPP";;"Praha 5";"Bank of Tokyo-Mitsubishi UFJ (Holland) N.V. Prague Branch, organizaèní slo¾ka, se sídlem: Klicperova 3208/12, Praha 5, PSÈ 150 00, IÈ 27427901";"Bank of Tokyo-Mitsubishi UFJ";"1";"0";"0";"MUFG Bank";"MUFG Bank";;"Praha 5";"Mobilita klientù";;"Klicperova 3208/12";"150 00";"8";;"27427901";"Èeská republika";"Klicperova 3208/12";"2020 MUFG Bank (Europe) N.V. Prague Branch";"150 00";"7";"000101";"000101"
"2030";"Èeskoslovenské úvìrní dru¾stvo";;;"Hradec Králové";"Èeskoslovenské úvìrní dru¾stvo, se sídlem: Goèárova tøída 312, Hradec Králové, PSÈ 500 02, IÈ 64946851";;"0";"0";"0";"Èeskoslovenského úvìrního dru¾stva";"Èeskoslovenské úvìrní dru¾stvo";;"Hradec Králové";"Mobilita klientù";;"Goèárova tøída 312";"500 02";"2";;"64946851";"Èeská republika";"Goèárova tøída 312";"2030 Èeskoslovenské úvìrní dru¾stvo";"500 02";"8";"000101";"000101"
"2050";"WPB Capital, spoøitelní dru¾stvo";;;"Praha 1";"WPB Capital, spoøitelní dru¾stvo, se sídlem: Jeruzalémská 1321/2, Praha 1, PSÈ 110 00, IÈ 25780450";;"0";"0";"0";"WPB Capital";"WPB Capital";;"Praha 1";"Mobilita klientù";;"Jeruzalémská 1321/2";"110 00";"56";;"25780450";"Èeská republika";"Jeruzalémská 1321/2";"2050 WPB Capital, spoøitelní dru¾stvo";"110 00";"9";"000101";"000101"
"2060";"Citfin, spoøitelní dru¾stvo";"CITFCZPP";"1";"Praha 5";"Citfin, spoøitelní dru¾stvo, se sídlem: Radlická 751/113e, Praha 5, PSÈ 158 00, IÈ 25783301";;"1";"0";"0";"Citfin";"Citfin";"1";"Praha 5";"Mobilita klientù";"backoffice@citfin.cz";"Radlická 751/113e";"158 00";"11";;"25783301";"Èeská republika";"Radlická 751/113e";"2060 Citfin, spoøitelní dru¾stvo";"158 00";"10";"000101";"000101"
"2070";"TRINITY BANK a.s.";"MPUBCZPP";"1";"Praha-Nové Mìsto";"TRINITY BANK a.s., se sídlem: Senová¾né námìstí 1375/19, Praha-Nové Mìsto, PSÈ 110 00, IÈ 25307835";;"1";"0";"1";"TRINITY BANK";"TRINITY BANK";"1";"Praha-Nové Mìsto";"Mobilita klientù";"centrala@mpu.cz";"Senová¾né námìstí 1375/19";"110 00";"37";;"25307835";"Èeská republika";"Senová¾né námìstí 1375/19";"2070 TRINITY BANK a.s.";"110 00";"11";"000101";"000101"
"2100";"Hypoteèní banka, a.s.";;"1";"Praha 5";"Hypoteèní banka, a.s., se sídlem: Radlická 333/150, Praha 5, PSÈ 150 57, IÈ 13584324";"Hypoteèní banka";"1";"1";"0";"Hypoteèní banky";"Hypoteèní banka";;"Praha 5";"Mobilita klientù";;"Radlická 333/150";"150 57";"30";;"13584324";"Èeská republika";"Radlická 333/150";"2100 Hypoteèní banka, a.s.";"150 57";"12";"000101";"000101"
"2200";"Penì¾ní dùm, spoøitelní dru¾stvo";;"1";"Uherské Hradi¹tì";"Penì¾ní dùm, spoøitelní dru¾stvo, se sídlem: Havlíèkova 1221, Uherské Hradi¹tì, PSÈ 686 01, IÈ 64508889";;"1";"0";"0";"Penì¾ního domu";"Penì¾ní dùm";"1";"Uherské Hradi¹tì";"Mobilita klientù";"info@peneznidum.cz";"Havlíèkova 1221";"686 01";"40";;"64508889";"Èeská republika";"Havlíèkova 1221";"2200 Penì¾ní dùm, spoøitelní dru¾stvo";"686 01";"13";"000101";"000101"
